trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df2..,FENFLURAMINE HYDROCHLORIDE,FENFLURAMINE HYDROCHLORIDE,FENFLURAMINE HYDROCHLORIDE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df21.,PONDERAX PACAPS 60mg m/r capsules,PONDERAX PACAPS 60mg m/r capsules,PONDERAX PACAPS 60mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df2z.,FENFLURAMINE HYDROCHLORIDE 60mg m/r capsules,FENFLURAMINE HYDROCHLORIDE 60mg m/r capsules,FENFLURAMINE HYDROCHLORIDE 60mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df3..,MAZINDOL,MAZINDOL,MAZINDOL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df31.,*TERONAC 2mg tablets,*TERONAC 2mg tablets,*TERONAC 2mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df3z.,*MAZINDOL 2mg tablets,*MAZINDOL 2mg tablets,*MAZINDOL 2mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df4..,PHENTERMINE,PHENTERMINE,PHENTERMINE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df41.,*DUROMINE 15mg m/r capsules,*DUROMINE 15mg m/r capsules,*DUROMINE 15mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df42.,*DUROMINE 30mg m/r capsules,*DUROMINE 30mg m/r capsules,*DUROMINE 30mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df43.,*IONAMIN 15mg m/r capsules,*IONAMIN 15mg m/r capsules,*IONAMIN 15mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df44.,*IONAMIN 30mg m/r capsules,*IONAMIN 30mg m/r capsules,*IONAMIN 30mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df4y.,*PHENTERMINE 15mg m/r capsules,*PHENTERMINE 15mg m/r capsules,*PHENTERMINE 15mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df4z.,*PHENTERMINE 30mg m/r capsules,*PHENTERMINE 30mg m/r capsules,*PHENTERMINE 30mg m/r capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df5..,DEXFENFLURAMINE,DEXFENFLURAMINE,DEXFENFLURAMINE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df51.,*DEXFENFLURAMINE 15mg capsules,*DEXFENFLURAMINE 15mg capsules,*DEXFENFLURAMINE 15mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df52.,*ADIFAX 15mg capsules,*ADIFAX 15mg capsules,*ADIFAX 15mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df6..,SIBUTRAMINE,SIBUTRAMINE,SIBUTRAMINE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df61.,*REDUCTIL 15mg capsules,*REDUCTIL 15mg capsules,*REDUCTIL 15mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df62.,*REDUCTIL 10mg capsules,*REDUCTIL 10mg capsules,*REDUCTIL 10mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df6y.,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 10mg capsules,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 10mg capsules,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 10mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df6z.,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 15mg capsules,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 15mg capsules,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE 15mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
