trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx64.,*EMFIB 300mg capsules,*EMFIB 300mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx6z.,GEMFIBROZIL 300mg capsules,GEMFIBROZIL 300mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx7..,*NICOFURANOSE,*NICOFURANOSE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx71.,*BRADILAN 250mg e/c tablets,*BRADILAN 250mg e/c tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx7z.,NICOFURANOSE 250mg e/c tablets,NICOFURANOSE 250mg e/c tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx8..,NICOTINIC ACID,NICOTINIC ACID,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx81.,*NICOTINIC ACID 25mg tablets,*NICOTINIC ACID 25mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx82.,NICOTINIC ACID 50mg tablets,NICOTINIC ACID 50mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx83.,*NICOTINIC ACID 100mg tablets,*NICOTINIC ACID 100mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx84.,NICOTINIC ACID 375mg and 500mg and 750mg m/r tablets starter pack,NICOTINIC ACID 375mg and 500mg and 750mg m/r tablets starter pack,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx85.,NICOTINIC ACID 500mg m/r tablets,NICOTINIC ACID 500mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx86.,NICOTINIC ACID 750mg m/r tablets,NICOTINIC ACID 750mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx87.,NICOTINIC ACID 1000mg m/r tablets,NICOTINIC ACID 1000mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx88.,NIASPAN 375mg and 500mg and 750mg m/r tablets starter pack,NIASPAN 375mg and 500mg and 750mg m/r tablets starter pack,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx89.,*NIASPAN 500mg m/r tablets,*NIASPAN 500mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx8a.,*NIASPAN 750mg m/r tablets,*NIASPAN 750mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
