trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000K0,Metoprolol Tartrate,Metoprolol Tartrate,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000L0,Carteolol Hydrochloride,Carteolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000M0,Nadolol,Nadolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000N0,Oxprenolol Hydrochloride,Oxprenolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000P0,Pindolol,Pindolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000Q0,Propranolol Hydrochloride With Diuretic,Propranolol Hydrochloride With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000R0,Propranolol Hydrochloride,Propranolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000T0,Sotalol Hydrochloride,Sotalol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000U0,Atenolol With Calcium Channel Blocker,Atenolol With Calcium Channel Blocker,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000V0,Timolol,Timolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
