trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011A0,Insulin Aspart,Insulin Aspart,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AA,Vildagliptin,Vildagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AB,Liraglutide,Liraglutide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AC,Saxagliptin,Saxagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AD,Metformin Hydrochloride/Sitagliptin,Metformin Hydrochloride/Sitagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AE,Linagliptin,Linagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AF,Linagliptin/Metformin,Linagliptin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AG,Dapagliflozin,Dapagliflozin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AH,Saxagliptin/Metformin,Saxagliptin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AI,Lixisenatide,Lixisenatide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AJ,Alogliptin/Metformin,Alogliptin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AK,Alogliptin,Alogliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AL,Dapagliflozin/Metformin,Dapagliflozin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AM,Canagliflozin,Canagliflozin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AN,Empagliflozin,Empagliflozin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AP,Canagliflozin/Metformin,Canagliflozin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AQ,Dulaglutide,Dulaglutide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
